City,Country,Lat,Long,Temp,Humidity,%Cloud,Wind_Speed,Hemisphere
dikson,ru,79.335,74.1158,3.82,91,46,6.55,Northern
mbanza-ngungu,cd,-5.668,14.3623,24.95,41,0,2.92,Southern
ancud,cl,-40.8561,-91.8283,9.44,68,40,6.7,Southern
arraial do cabo,br,-37.3683,-30.351,26.0,73,20,1.5,Southern
port macquarie,au,-32.8374,163.0862,10.56,99,90,3.63,Southern
port alfred,za,-88.4055,39.8498,14.55,69,77,7.3,Southern
ilulissat,gl,72.4304,-47.6685,7.0,93,100,3.6,Northern
whitianga,nz,-35.7401,176.1451,5.56,97,63,1.7,Southern
marsh harbour,bs,26.7534,-75.5763,29.53,71,100,5.93,Northern
barrow,us,89.8441,-160.4761,7.0,87,90,8.7,Northern
nikolskoye,ru,54.4453,166.5167,17.0,59,0,1.0,Northern
clyde river,ca,67.4297,-76.9906,9.0,76,1,2.1,Northern
cape town,za,-61.8821,-2.111,13.33,66,20,9.8,Southern
bahir dar,et,11.9027,37.3193,15.7,91,100,1.22,Northern
ararat,au,-37.2295,142.7839,3.3,95,99,3.39,Southern
georgetown,sh,-13.5263,-19.6383,23.62,75,19,9.14,Southern
moron,mn,46.6902,98.3886,15.21,92,100,1.13,Northern
albany,au,-76.7261,114.5688,12.0,87,75,3.1,Southern
nome,us,59.1964,-167.4828,14.44,71,75,2.1,Northern
lang son,vn,22.1591,107.3968,24.75,95,100,1.03,Northern
saint-joseph,re,-31.1918,55.9306,19.0,77,40,2.6,Southern
la ronge,ca,61.0301,-106.3028,21.0,56,75,8.2,Northern
tuktoyaktuk,ca,76.8864,-124.4721,16.0,72,20,3.6,Northern
busselton,au,-77.6871,82.7366,16.67,77,68,6.25,Southern
nizhniy kuranakh,ru,60.8365,124.1508,15.04,80,100,1.09,Northern
jamestown,sh,-16.0843,-5.8514,17.36,82,89,7.05,Southern
rabupura,in,28.2645,77.6742,30.0,84,40,0.39,Northern
lebu,cl,-35.3375,-80.9781,11.16,82,100,4.47,Southern
ushuaia,ar,-78.7135,-25.8424,1.0,89,40,9.3,Southern
upernavik,gl,74.8742,-55.1554,6.46,91,100,1.56,Northern
flinders,au,-34.7829,132.2225,16.67,96,100,5.36,Southern
los llanos de aridane,es,26.9812,-18.707,24.0,69,20,6.7,Northern
hermanus,za,-48.6121,15.4872,11.11,77,8,1.79,Southern
kosh-agach,ru,50.0651,89.0307,7.53,81,0,0.45,Northern
adre,td,14.1579,22.8705,28.49,51,20,5.77,Northern
mount gambier,au,-47.8439,132.5088,9.0,100,75,3.6,Southern
bethel,us,44.8599,-168.7372,32.22,43,1,6.2,Northern
